step,feature_name,marginal_contribution,cumulative_performance
1,"time_features_macro_set, lag_features_macro_set_on_temp",0.7022342512833046,0.7022342512833046
2,"rolling_features_macro_set_on_temp, temp_lag_1_x_dayofweek",0.006047140108516036,0.7082813913918207
3,"temp_lag_1_x_month, embed_0_win90",0.004247636008356315,0.712529027400177
4,"deleted_2_features, temp_lag_1_x_weekofyear",-0.0025052301373175156,0.7100237972628595
5,"deleted_1_features, temp_lag_1_x_weekofyear, embed_0_win365",-0.012438177030396624,0.6975856202324628
