,importance_mean,importance_std
temp_lag_1,0.43964042793517377,0.0
temp_rolling_mean_30,0.03301301083297048,0.0
temp_lag_1_x_month,0.025508695407953086,0.0
temp_lag_2,0.016383515823290562,0.0
temp_rolling_mean_7,0.014488472503326078,0.0
temp_rolling_std_7,0.006439866342914713,0.0
year,0.004169482561201865,0.0
embed_11_win90,0.0038993580228465774,0.0
temp_lag_3,0.0037475445421818465,0.0
embed_39_win90,0.0036301759725561045,0.0
embed_33_win90,0.0033613018863336563,0.0
weekofyear,0.0022672130535515977,0.0
temp_lag_14,0.0020666243544151808,0.0
embed_35_win90,0.0020604790887139846,0.0
embed_32_win90,0.0016435713273266206,0.0
embed_63_win90,0.001488968000634916,0.0
embed_19_win90,0.0014099800107609806,0.0
embed_40_win90,0.0013803106494021389,0.0
embed_8_win90,0.0013602635123300955,0.0
embed_30_win90,0.0013564572908647543,0.0
day,0.00124293839693157,0.0
embed_4_win90,0.0009930889440701307,0.0
embed_51_win90,0.0009301223931247327,0.0
embed_15_win90,0.0008976488646367242,0.0
embed_16_win90,0.0008136499326695246,0.0
embed_47_win90,0.0008049833184493593,0.0
embed_26_win90,0.0007186444394406966,0.0
embed_31_win90,0.0006142397981871994,0.0
month,0.0005442239244757285,0.0
embed_28_win90,0.0005384194254002272,0.0
embed_7_win90,0.0005060128125466967,0.0
embed_6_win90,0.00047598056359832164,0.0
embed_46_win90,0.000458248573419473,0.0
embed_41_win90,0.00045436983786872887,0.0
embed_54_win90,0.00044681907494448225,0.0
embed_14_win90,0.000408591384245538,0.0
embed_25_win90,0.00039052958635110713,0.0
embed_42_win90,0.0003611540496454291,0.0
embed_36_win90,0.00028719680058642005,0.0
embed_5_win90,0.0002834934889128782,0.0
embed_27_win90,0.0002637071052933315,0.0
embed_56_win90,0.00023103454595152506,0.0
embed_59_win90,0.0002042119097244166,0.0
embed_24_win90,0.00013563346899236883,0.0
embed_62_win90,0.00013077578160758385,0.0
embed_22_win90,6.287453046671665e-05,0.0
embed_17_win90,5.226003370628618e-05,0.0
embed_20_win90,3.232086009430368e-05,0.0
embed_9_win90,2.8839607338904116e-05,0.0
embed_55_win90,2.8504740034795972e-05,0.0
embed_50_win90,2.828727256165564e-05,0.0
is_weekend,0.0,0.0
embed_49_win90,-4.6759490441194984e-05,0.0
embed_29_win90,-5.730033820983138e-05,0.0
embed_45_win90,-0.00010995066472851978,0.0
dayofweek,-0.00011837153075666684,0.0
embed_61_win90,-0.00018240784296208457,0.0
embed_3_win90,-0.00031751468758844936,0.0
temp_rolling_std_30,-0.00034189491216607415,0.0
embed_23_win90,-0.000354286365688683,0.0
embed_18_win90,-0.0003786743249729607,0.0
temp_rolling_std_14,-0.0004054297961028075,0.0
temp_rolling_mean_14,-0.0005803444903442756,0.0
embed_12_win90,-0.0006138281033153392,0.0
embed_43_win90,-0.0006249054212634775,0.0
embed_57_win90,-0.000701190665611584,0.0
embed_0_win90,-0.0007145009530118429,0.0
temp_lag_1_x_dayofweek,-0.0008007238579492704,0.0
embed_21_win90,-0.0008256300496771729,0.0
embed_13_win90,-0.0008716422937009582,0.0
embed_38_win90,-0.0009541949070519529,0.0
embed_60_win90,-0.0010408415109337543,0.0
embed_52_win90,-0.00111676753582024,0.0
embed_53_win90,-0.0011590679939381676,0.0
embed_44_win90,-0.0013012322246191976,0.0
embed_58_win90,-0.001360937499196524,0.0
embed_34_win90,-0.0014632207156521915,0.0
embed_10_win90,-0.0016504729911822613,0.0
embed_48_win90,-0.0018396731537224653,0.0
embed_37_win90,-0.0018999563015731358,0.0
embed_2_win90,-0.0019979934939653443,0.0
embed_1_win90,-0.0025362279638476704,0.0
temp_lag_7,-0.004427852813694733,0.0
