,importance_mean,importance_std
temp_lag_1,0.45052240676760424,0.0
month,0.028137637627022816,0.0
month_x_temp_lag_1,0.0207430796981809,0.0
temp_lag_2,0.018813134247779306,0.0
temp_rolling_min_30,0.018506138462959454,0.0
temp_rolling_max_30,0.01250568820952469,0.0
temp_rolling_median_7,0.00939381192820754,0.0
temp_rolling_median_30,0.0061240841047977,0.0
temp_rolling_min_7,0.0039784315908645285,0.0
dayofweek_x_temp_rolling_std_30,0.003418623399507381,0.0
month_x_temp_lag_14,0.002375956377748123,0.0
temp_rolling_max_7,0.0011887504759666712,0.0
temp_lag_14,-4.843768802276216e-06,0.0
temp_rolling_std_30,-0.0007417925113940571,0.0
temp_rolling_std_7,-0.001297570887173971,0.0
temp_lag_7,-0.0030745466852426517,0.0
temp_lag_3,-0.0033546443780979596,0.0
temp_rolling_std_14,-0.008476115691142816,0.0
