step,feature_name,marginal_contribution,cumulative_performance
3,"mvse_features, embed_0_win365",0.047401046893893906,1.8240120501125063
5,"mvse_features, embed_0_win730",0.013354333990643674,1.819310903644143
6,"mvse_features, fourier_features_order_6",0.011299967987908222,1.8306108716320513
7,"mvse_features, fourier_features_order_5, temp_lag_1_x_temp_rolling_mean_7",0.009080627936377095,1.8396914995684284
2,"fourier_features_order_4, temp_lag_365, temp_rolling_std_90",-0.0030801526388946066,1.7766110032186124
4,"embed_0_win90, temp_rolling_mean_365, temp_lag_1_x_fourier_cos_1",-0.018055480459006956,1.8059565696534994
1,"time_features_macro_set, lag_features_macro_set_on_temp, rolling_features_macro_set_on_temp",-1.619102614080568,1.779691155857507
