,importance_mean,importance_std
mvse_feat_1,0.42509323171538727,0.0
mvse_feat_2_rolling_mean_30,0.12871916703803166,0.0
mvse_feat_2,0.11472345905455761,0.0
year,0.07902124905586039,0.0
mvse_gmp_mean,0.06400840686934828,0.0
mvse_feat_6,0.05663535101617434,0.0
fourier_sin_3,0.02735937089575291,0.0
mvse_feat_2_rolling_std_7,0.025871716576658432,0.0
fourier_sin_2,0.024153271571253576,0.0
fourier_sin_1,0.019441112822331963,0.0
mvse_gap_min,0.017972198900529257,0.0
weekofyear,0.016070425541063305,0.0
fourier_cos_3,0.014158083293214219,0.0
mvse_feat_12,0.008448676739749583,0.0
mvse_feat_4,0.007236769147173749,0.0
embed_55_win90,0.006880143696933239,0.0
mvse_feat_9,0.006469653816759902,0.0
embed_5_win90,0.005506745241275368,0.0
fourier_cos_1,0.0054879312296813865,0.0
mvse_feat_11,0.003966497462834617,0.0
mvse_feat_5,0.00350117194042765,0.0
mvse_feat_2_rolling_std_30,0.0033123116830742205,0.0
embed_56_win90,0.0026497777332963324,0.0
embed_37_win90,0.0023282750949937814,0.0
mvse_feat_2_rolling_mean_14,0.002322231977275546,0.0
mvse_gmp_std,0.0022235306573081814,0.0
embed_44_win90,0.0022091385652900364,0.0
embed_30_win90,0.002022399353346138,0.0
embed_21_win90,0.0017153234557985009,0.0
embed_41_win90,0.0014846699014468001,0.0
mvse_gap_std,0.0013544228842814476,0.0
embed_47_win90,0.0012423213370267305,0.0
embed_18_win90,0.0012246809793245994,0.0
embed_8_win90,0.001155352019568845,0.0
embed_58_win90,0.0011008828158765027,0.0
embed_1_win90,0.001098306625390233,0.0
embed_9_win90,0.0010388539188750379,0.0
embed_6_win90,0.0009137472796436619,0.0
mvse_feat_0,0.0008858917084326734,0.0
mvse_feat_7,0.0008737392612951922,0.0
embed_11_win90,0.0008694649096048224,0.0
mvse_feat_3,0.0007528335146815834,0.0
embed_45_win90,0.0007425098850961653,0.0
embed_35_win90,0.000504721702754285,0.0
embed_26_win90,0.0003777390725683283,0.0
embed_51_win90,0.0003611216776850945,0.0
embed_53_win90,7.226341667543323e-05,0.0
embed_19_win90,1.773593931853057e-05,0.0
embed_28_win90,6.606355453797619e-07,0.0
embed_59_win90,-6.798121349405051e-05,0.0
embed_7_win90,-0.00012059752291415649,0.0
embed_63_win90,-0.00038076623497884654,0.0
mvse_feat_8,-0.0004950662241429704,0.0
embed_17_win90,-0.0005220272331944997,0.0
embed_49_win90,-0.0005636676957929687,0.0
embed_50_win90,-0.000622377657645945,0.0
embed_14_win90,-0.0006279348677300511,0.0
embed_23_win90,-0.0008301394432130849,0.0
embed_54_win90,-0.0008818198879034789,0.0
embed_27_win90,-0.000978752163839136,0.0
fourier_cos_2,-0.0010877728655933616,0.0
embed_36_win90,-0.0013448893399417017,0.0
embed_31_win90,-0.0013601613548090974,0.0
embed_24_win90,-0.0016049062249723356,0.0
embed_61_win90,-0.0017089127516065616,0.0
mvse_feat_15,-0.0019604423308998697,0.0
embed_40_win90,-0.002118614867716584,0.0
embed_29_win90,-0.002250686229847254,0.0
mvse_feat_13,-0.0023456172115596807,0.0
embed_46_win90,-0.0024030497558444885,0.0
embed_34_win90,-0.002534830395380716,0.0
embed_0_win90,-0.0027735007523199684,0.0
embed_16_win90,-0.002808573415239657,0.0
embed_20_win90,-0.0029657511152234584,0.0
embed_10_win90,-0.002973775083892516,0.0
embed_12_win90,-0.003007209290486923,0.0
embed_57_win90,-0.003222336985269525,0.0
embed_2_win90,-0.0033367645361677134,0.0
embed_62_win90,-0.00364829465589267,0.0
embed_42_win90,-0.004017761043439538,0.0
embed_13_win90,-0.004156040749341727,0.0
embed_48_win90,-0.004308672686366144,0.0
embed_15_win90,-0.004454593964251519,0.0
embed_4_win90,-0.004562255162413376,0.0
mvse_feat_14,-0.004665426667396666,0.0
embed_25_win90,-0.004677854081744037,0.0
embed_39_win90,-0.0048026166972561235,0.0
embed_38_win90,-0.004950709348851223,0.0
mvse_feat_10,-0.0052191712640801136,0.0
embed_3_win90,-0.005399604942970537,0.0
embed_22_win90,-0.005664784214834739,0.0
embed_43_win90,-0.006273546613650538,0.0
day,-0.00633123520212342,0.0
embed_33_win90,-0.006481369574492302,0.0
embed_32_win90,-0.007280802870908154,0.0
mvse_feat_2_rolling_mean_7,-0.008397249060626333,0.0
embed_52_win90,-0.008993041282655323,0.0
embed_60_win90,-0.010069275741850348,0.0
mvse_gap_mean,-0.01013864539458309,0.0
mvse_gmp_min,-0.01044379363795711,0.0
mvse_feat_2_rolling_std_14,-0.011975677857189115,0.0
